gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2626296850	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/46560901	Animalia	Chordata	Mammalia	Carnivora	Canidae	Vulpes	Vulpes vulpes		SPECIES	Vulpes vulpes (Linnaeus, 1758)	Vulpes vulpes		CA		Yukon	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	60.734742	-135.064443	220.0						2020-05-10T10:19:00	10	5	2020	5219243	5219243	HUMAN_OBSERVATION	iNaturalist	Observations	46560901		yukonsteve	2020-05-20T02:41:36	CC_BY_NC_4_0	yukonsteve	yukonsteve			2023-03-29T13:57:52.567Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2626201604	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/46729017	Animalia	Chordata	Mammalia	Carnivora	Canidae	Vulpes	Vulpes vulpes		SPECIES	Vulpes vulpes (Linnaeus, 1758)	Vulpes vulpes		CA		Yukon	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	60.717738	-135.081117	12.0						2020-05-20T18:41:20	20	5	2020	5219243	5219243	HUMAN_OBSERVATION	iNaturalist	Observations	46729017		miramason	2020-05-21T15:07:38	CC_BY_NC_4_0	miramason	miramason			2023-03-29T14:16:28.357Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2626190636	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/46677180	Animalia	Chordata	Mammalia	Carnivora	Canidae	Vulpes	Vulpes vulpes		SPECIES	Vulpes vulpes (Linnaeus, 1758)	Vulpes vulpes		CA		Yukon	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	60.641486	-135.006874	61.0						2020-05-12T07:01:00	12	5	2020	5219243	5219243	HUMAN_OBSERVATION	iNaturalist	Observations	46677180		yukonsteve	2020-05-21T01:48:11	CC_BY_NC_4_0	yukonsteve	yukonsteve			2023-03-29T14:16:15.842Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2620128548	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/45013338	Animalia	Chordata	Mammalia	Carnivora	Canidae	Vulpes	Vulpes vulpes		SPECIES	Vulpes vulpes (Linnaeus, 1758)	Vulpes vulpes		CA		Yukon	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	60.769834	-135.141976	15.0						2020-05-05T13:21:00	5	5	2020	5219243	5219243	HUMAN_OBSERVATION	iNaturalist	Observations	45013338		sydcannings	2020-05-05T20:57:37	CC_BY_NC_4_0	sydcannings	sydcannings			2023-03-29T13:57:40.726Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2619994413	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/29804078	Animalia	Chordata	Mammalia	Carnivora	Canidae	Vulpes	Vulpes vulpes		SPECIES	Vulpes vulpes (Linnaeus, 1758)	Vulpes vulpes		CA		British Columbia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	59.381792	-129.090375							2019-07-23T13:53:00	23	7	2019	5219243	5219243	HUMAN_OBSERVATION	iNaturalist	Observations	29804078		Jason Headley	2019-07-29T19:16:39	CC0_1_0	Jason Headley	Jason Headley			2023-03-29T13:56:04.394Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2619923353	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/27463649	Animalia	Chordata	Mammalia	Carnivora	Canidae	Vulpes	Vulpes vulpes		SPECIES	Vulpes vulpes (Linnaeus, 1758)	Vulpes vulpes		CA		British Columbia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	54.195439	-125.718725	126.0						2019-06-21T20:17:00	21	6	2019	5219243	5219243	HUMAN_OBSERVATION	iNaturalist	Observations	27463649		Jason Headley	2019-06-22T22:01:17	CC0_1_0	Jason Headley	Jason Headley			2023-03-29T14:13:57.990Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES
2619918579	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/44516362	Animalia	Chordata	Mammalia	Carnivora	Canidae	Vulpes	Vulpes vulpes		SPECIES	Vulpes vulpes (Linnaeus, 1758)	Vulpes vulpes		CA		Yukon	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	60.718775	-135.06772	244.0						2020-04-23T18:25:00	23	4	2020	5219243	5219243	HUMAN_OBSERVATION	iNaturalist	Observations	44516362		malkolmboothroyd	2020-05-01T20:48:31	CC_BY_NC_4_0	malkolmboothroyd	malkolmboothroyd			2023-03-29T13:57:34.182Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2611429685	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/44388234	Animalia	Chordata	Mammalia	Carnivora	Canidae	Vulpes	Vulpes vulpes		SPECIES	Vulpes vulpes (Linnaeus, 1758)	Vulpes vulpes		CA		Yukon	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	60.773852	-135.13557	15.0						2020-04-28T19:18:00	28	4	2020	5219243	5219243	HUMAN_OBSERVATION	iNaturalist	Observations	44388234		sydcannings	2020-04-30T17:51:23	CC_BY_NC_4_0	sydcannings	sydcannings			2023-03-29T13:57:34.285Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2611391869	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/43423119	Animalia	Chordata	Mammalia	Carnivora	Canidae	Vulpes	Vulpes vulpes		SPECIES	Vulpes vulpes (Linnaeus, 1758)	Vulpes vulpes		CA		Yukon	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	60.70112	-135.04354	15.0						2020-04-14T11:58:00	14	4	2020	5219243	5219243	HUMAN_OBSERVATION	iNaturalist	Observations	43423119		johnmeikle	2020-04-25T19:47:05	CC_BY_NC_4_0	johnmeikle	johnmeikle			2023-03-29T14:15:27.727Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2611348536	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/44330584	Animalia	Chordata	Mammalia	Carnivora	Canidae	Vulpes	Vulpes vulpes		SPECIES	Vulpes vulpes (Linnaeus, 1758)	Vulpes vulpes		CA		Yukon	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	60.60827	-134.875433	488.0						2020-04-21T08:24:00	21	4	2020	5219243	5219243	HUMAN_OBSERVATION	iNaturalist	Observations	44330584		yukonsteve	2020-04-30T02:18:12	CC_BY_NC_4_0	yukonsteve	yukonsteve			2023-03-29T14:16:11.135Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
